,count,model 1,model 2
0,18,easiest-interleaved,hardest-interleaved
1,17,hardest-interleaved,vinai-preprocessing
2,17,hardest-interleaved,tags-replacement
3,16,hardest-interleaved,larger-batches-larger-learning-rate
4,16,mispredictions-appended,vinai-preprocessing
5,16,easiest-interleaved,vinai-preprocessing
6,16,hardest-interleaved,smiley-reconstruction
7,16,easiest-interleaved,tags-replacement
8,15,curriculum-strict,hardest-interleaved
9,15,hardest-interleaved,mispredictions-appended
10,15,drop-duplicates,hardest-interleaved
11,15,baseline,hardest-interleaved
12,14,curriculum-strict-shuffled,hardest-interleaved
13,14,mispredictions-appended,tags-replacement
14,14,easiest-appended,hardest-interleaved
15,13,corrects-interleaved,easiest-interleaved
16,13,corrects-interleaved,hardest-interleaved
17,13,hardest-interleaved,no-easy
18,12,tags-replacement,vinai-preprocessing
19,12,no-easy,vinai-preprocessing
20,12,curriculum-strict-shuffled,tags-replacement
21,12,hardest-appended,hardest-interleaved
22,12,hardest-interleaved,mispredictions-interleaved
23,11,curriculum-strict,vinai-preprocessing
24,11,curriculum-strict,tags-replacement
25,11,easiest-interleaved,larger-batches-larger-learning-rate
26,11,curriculum-strict-shuffled,vinai-preprocessing
27,11,mispredictions-interleaved,vinai-preprocessing
28,11,mispredictions-appended,smiley-reconstruction
29,11,corrects-appended,hardest-interleaved
30,11,easiest-interleaved,mispredictions-appended
31,10,hardest-appended,vinai-preprocessing
32,10,curriculum-reordered,hardest-interleaved
33,10,drop-duplicates,mispredictions-appended
34,10,easiest-appended,mispredictions-appended
35,9,larger-batches-larger-learning-rate,vinai-preprocessing
36,9,larger-batches-larger-learning-rate,tags-replacement
37,9,easiest-appended,vinai-preprocessing
38,9,curriculum-reordered-shuffled,hardest-interleaved
39,9,baseline,mispredictions-appended
40,9,mispredictions-interleaved,tags-replacement
41,9,easiest-appended,tags-replacement
42,8,curriculum-strict,hardest-appended
43,8,curriculum-strict,mispredictions-appended
44,8,hardest-appended,larger-batches-larger-learning-rate
45,8,smiley-reconstruction,vinai-preprocessing
46,8,corrects-appended,vinai-preprocessing
47,8,curriculum-strict-shuffled,easiest-interleaved
48,8,easiest-interleaved,hardest-appended
49,8,hardest-appended,tags-replacement
50,8,corrects-appended,tags-replacement
51,8,drop-duplicates,tags-replacement
52,8,corrects-interleaved,tags-replacement
53,8,baseline,tags-replacement
54,8,no-easy,tags-replacement
55,7,corrects-appended,larger-batches-larger-learning-rate
56,7,hardest-appended,smiley-reconstruction
57,7,easiest-interleaved,smiley-reconstruction
58,7,smiley-reconstruction,tags-replacement
59,7,hardest-interleaved,smaller-batches-smaller-learning-rate
60,7,mispredictions-appended,mispredictions-interleaved
61,7,easiest-appended,easiest-interleaved
62,6,curriculum-strict,larger-batches-larger-learning-rate
63,6,larger-batches-larger-learning-rate,mispredictions-appended
64,6,larger-batches-larger-learning-rate,mispredictions-interleaved
65,6,drop-duplicates,vinai-preprocessing
66,6,baseline,vinai-preprocessing
67,6,easiest-appended,smiley-reconstruction
68,6,curriculum-strict-shuffled,no-easy
69,6,corrects-appended,easiest-interleaved
70,6,mispredictions-appended,no-easy
71,6,drop-duplicates,easiest-interleaved
72,6,baseline,easiest-interleaved
73,6,easiest-interleaved,no-easy
74,5,hardest-interleaved,only-corrects
75,5,curriculum-strict,easiest-appended
76,5,larger-batches-larger-learning-rate,smiley-reconstruction
77,5,no-easy,smiley-reconstruction
78,5,curriculum-strict-shuffled,mispredictions-appended
79,4,mispredictions-appended,only-corrects
80,4,curriculum-strict,smiley-reconstruction
81,4,corrects-appended,curriculum-strict
82,4,curriculum-strict,mispredictions-interleaved
83,4,curriculum-strict,drop-duplicates
84,4,corrects-interleaved,curriculum-strict
85,4,curriculum-strict,easiest-interleaved
86,4,baseline,curriculum-strict
87,4,curriculum-strict-shuffled,larger-batches-larger-learning-rate
88,4,easiest-appended,larger-batches-larger-learning-rate
89,4,larger-batches-larger-learning-rate,no-easy
90,4,curriculum-reordered,vinai-preprocessing
91,4,corrects-interleaved,vinai-preprocessing
92,4,curriculum-strict-shuffled,smiley-reconstruction
93,4,corrects-interleaved,curriculum-strict-shuffled
94,4,curriculum-strict-shuffled,easiest-appended
95,4,easiest-appended,hardest-appended
96,4,hardest-appended,no-easy
97,4,curriculum-reordered-shuffled,easiest-interleaved
98,4,curriculum-reordered-shuffled,tags-replacement
99,4,drop-duplicates,mispredictions-interleaved
100,4,easiest-interleaved,mispredictions-interleaved
101,4,baseline,mispredictions-interleaved
102,4,corrects-interleaved,easiest-appended
103,3,corrects-appended,only-corrects
104,3,corrects-interleaved,only-corrects
105,3,easiest-interleaved,only-corrects
106,3,curriculum-strict,no-easy
107,3,corrects-interleaved,larger-batches-larger-learning-rate
108,3,curriculum-reordered-shuffled,vinai-preprocessing
109,3,corrects-appended,smiley-reconstruction
110,3,corrects-appended,curriculum-strict-shuffled
111,3,curriculum-strict-shuffled,mispredictions-interleaved
112,3,curriculum-strict-shuffled,drop-duplicates
113,3,baseline,curriculum-strict-shuffled
114,3,corrects-appended,hardest-appended
115,3,hardest-appended,mispredictions-appended
116,3,curriculum-reordered-shuffled,mispredictions-appended
117,3,corrects-interleaved,curriculum-reordered-shuffled
118,3,curriculum-reordered,easiest-interleaved
119,3,corrects-appended,mispredictions-appended
120,3,corrects-interleaved,drop-duplicates
121,3,drop-duplicates,no-easy
122,3,baseline,corrects-interleaved
123,3,baseline,no-easy
124,2,curriculum-reordered-shuffled,larger-batches-larger-learning-rate
125,2,mispredictions-interleaved,smiley-reconstruction
126,2,drop-duplicates,smiley-reconstruction
127,2,corrects-interleaved,smiley-reconstruction
128,2,baseline,smiley-reconstruction
129,2,curriculum-strict-shuffled,hardest-appended
130,2,curriculum-reordered-shuffled,hardest-appended
131,2,drop-duplicates,hardest-appended
132,2,baseline,hardest-appended
133,2,curriculum-reordered,easiest-appended
134,2,corrects-appended,drop-duplicates
135,2,corrects-appended,easiest-appended
136,2,corrects-appended,no-easy
137,2,drop-duplicates,easiest-appended
138,2,baseline,easiest-appended
139,1,larger-batches-larger-learning-rate,only-corrects
140,1,only-corrects,vinai-preprocessing
141,1,curriculum-strict-shuffled,only-corrects
142,1,hardest-appended,only-corrects
143,1,curriculum-reordered-shuffled,only-corrects
144,1,only-corrects,tags-replacement
145,1,curriculum-reordered,curriculum-strict
146,1,curriculum-reordered,larger-batches-larger-learning-rate
147,1,drop-duplicates,larger-batches-larger-learning-rate
148,1,baseline,larger-batches-larger-learning-rate
149,1,curriculum-reordered,smiley-reconstruction
150,1,curriculum-strict-shuffled,smaller-batches-smaller-learning-rate
151,1,hardest-appended,smaller-batches-smaller-learning-rate
152,1,mispredictions-appended,smaller-batches-smaller-learning-rate
153,1,mispredictions-interleaved,smaller-batches-smaller-learning-rate
154,1,corrects-interleaved,smaller-batches-smaller-learning-rate
155,1,easiest-interleaved,smaller-batches-smaller-learning-rate
156,1,no-easy,smaller-batches-smaller-learning-rate
157,1,hardest-appended,mispredictions-interleaved
158,1,curriculum-reordered-shuffled,drop-duplicates
159,1,curriculum-reordered-shuffled,easiest-appended
160,1,baseline,curriculum-reordered-shuffled
161,1,corrects-appended,curriculum-reordered
162,1,curriculum-reordered,mispredictions-appended
163,1,curriculum-reordered,mispredictions-interleaved
164,1,corrects-interleaved,curriculum-reordered
165,1,curriculum-reordered,tags-replacement
166,1,curriculum-reordered,no-easy
167,1,corrects-appended,mispredictions-interleaved
168,1,baseline,corrects-appended
169,1,corrects-interleaved,mispredictions-appended
170,1,easiest-appended,mispredictions-interleaved
171,1,mispredictions-interleaved,no-easy
172,0,curriculum-strict,only-corrects
173,0,only-corrects,smiley-reconstruction
174,0,only-corrects,smaller-batches-smaller-learning-rate
175,0,curriculum-reordered,only-corrects
176,0,mispredictions-interleaved,only-corrects
177,0,drop-duplicates,only-corrects
178,0,easiest-appended,only-corrects
179,0,baseline,only-corrects
180,0,no-easy,only-corrects
181,0,curriculum-strict,smaller-batches-smaller-learning-rate
182,0,curriculum-strict,curriculum-strict-shuffled
183,0,curriculum-reordered-shuffled,curriculum-strict
184,0,larger-batches-larger-learning-rate,smaller-batches-smaller-learning-rate
185,0,smaller-batches-smaller-learning-rate,vinai-preprocessing
186,0,smaller-batches-smaller-learning-rate,smiley-reconstruction
187,0,curriculum-reordered-shuffled,smiley-reconstruction
188,0,curriculum-reordered-shuffled,smaller-batches-smaller-learning-rate
189,0,curriculum-reordered,smaller-batches-smaller-learning-rate
190,0,corrects-appended,smaller-batches-smaller-learning-rate
191,0,drop-duplicates,smaller-batches-smaller-learning-rate
192,0,easiest-appended,smaller-batches-smaller-learning-rate
193,0,smaller-batches-smaller-learning-rate,tags-replacement
194,0,baseline,smaller-batches-smaller-learning-rate
195,0,curriculum-reordered-shuffled,curriculum-strict-shuffled
196,0,curriculum-reordered,curriculum-strict-shuffled
197,0,curriculum-reordered,hardest-appended
198,0,corrects-interleaved,hardest-appended
199,0,curriculum-reordered,curriculum-reordered-shuffled
200,0,corrects-appended,curriculum-reordered-shuffled
201,0,curriculum-reordered-shuffled,mispredictions-interleaved
202,0,curriculum-reordered-shuffled,no-easy
203,0,curriculum-reordered,drop-duplicates
204,0,baseline,curriculum-reordered
205,0,corrects-appended,corrects-interleaved
206,0,corrects-interleaved,mispredictions-interleaved
207,0,baseline,drop-duplicates
208,0,corrects-interleaved,no-easy
209,0,easiest-appended,no-easy
